split,trade_date,control_set,available_controls,n,raw_ic,residual_ic,score_coef_after_controls
test,20250120,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.03654813753928663,-0.13836739765897807,-0.0094697022624085
test,20250121,none,,90,-0.18328694771398024,-0.18328694771398024,-0.014572922300567509
test,20250121,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.18328694771398024,-0.1942078656659909,-0.015101091368950286
test,20250121,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.18328694771398024,-0.19339588221484838,-0.013778076895983975
test,20250121,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.18328694771398024,-0.46030747133215527,-0.052825842008174854
test,20250121,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.18328694771398024,-0.33260368023276177,-0.04061541124874776
test,20250122,none,,90,-0.10719654566417001,-0.10719654566417001,-0.010052319953228393
test,20250122,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.10719654566417001,-0.11000244133341822,-0.010136078210648379
test,20250122,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.10719654566417001,-0.11123642420129874,-0.009675998778362055
test,20250122,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.10719654566417001,-0.23822087726478022,-0.03247578833248223
test,20250122,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.10719654566417001,-0.18676142665768214,-0.023128469834831265
test,20250123,none,,90,-0.016018818307129843,-0.016018818307129843,-0.0016669293059266722
test,20250123,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.016018818307129843,-0.014940412661804516,-0.0015346616068783539
test,20250123,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.016018818307129843,-0.004730203570069452,-0.0004627089877481694
test,20250123,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.016018818307129843,-0.1390859288009823,-0.017271861186392533
test,20250123,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.016018818307129843,-0.15779909242328272,-0.018870046910238077
test,20250124,none,,90,0.019760414707588683,0.019760414707588683,0.0022157617408849212
test,20250124,size,"lag1_log_circ_mv,lag1_log_total_mv",90,0.019760414707588683,0.026351744486720584,0.0029104434106372074
