split,k,keep_multiplier,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_transaction_cost,avg_buy_reject_count,avg_sell_reject_count,avg_partial_fill_count,avg_position_count,portfolio_nav,participation_cap
test,10,1.5,66,0.8188873921917101,0.32188034021397455,-0.18243789150719203,0.1503870189374017,0.269003188930929,1.4866331379396514,0.9002054350612819,0.001350308152591923,0.015151515151515152,1.8181818181818181,10.318181818181818,16.651515151515152,1000000.0,0.1
test,10,3.0,66,0.8298336910653983,0.3642421001069116,-0.1468113649371544,0.14613134587812104,0.2672967940319648,1.1063025283969663,0.6724152170518725,0.001008622825577809,0.015151515151515152,0.7575757575757576,8.424242424242424,14.848484848484848,1000000.0,0.1
test,30,1.0,66,0.587829477598605,0.29944690138154495,-0.1452606518976962,-0.0035333228145902895,0.10283378261138543,1.028460955007392,0.8810000772433715,0.001321500115865057,0.015151515151515152,3.3333333333333335,8.909090909090908,37.04545454545455,1000000.0,0.1
test,30,1.5,66,0.5605604739951981,0.28672591449537155,-0.16130126243683285,-0.019269423941976616,0.08405185054562425,0.7141405491146622,0.5920444530449124,0.0008880666795673687,0.030303030303030304,4.181818181818182,6.121212121212121,36.57575757575758,1000000.0,0.1
test,30,3.0,66,0.5851788301791747,0.29983972819657084,-0.17779364310216972,-0.005303768754647331,0.10076526561046362,0.09796164895528255,0.060709363443266606,9.10640451648999e-05,0.0,1.9393939393939394,0.3939393939393939,31.96969696969697,1000000.0,0.1
validation,10,1.0,97,-0.03496828869689017,0.011126410404110706,-0.48155234294121185,-0.0239388338062132,0.056507795389433735,1.7610334751451278,0.7438582664275758,0.0011157873996413637,0.0,2.8556701030927836,14.690721649484535,19.61855670103093,1000000.0,0.1
validation,10,1.5,97,-0.10251521363149463,-0.01758425514492694,-0.48753611647551875,-0.09402041797817662,-0.01887687048595399,1.5785972587450658,0.6729293318550001,0.0010093939977825002,0.010309278350515464,2.3092783505154637,14.237113402061855,19.164948453608247,1000000.0,0.1
validation,10,3.0,97,-0.17042849951116734,-0.04537304373594808,-0.4963644355820258,-0.16050476234837507,-0.08952317316538272,1.1806726958109268,0.5116363155702873,0.0007674544733554309,0.010309278350515464,1.690721649484536,12.278350515463918,17.54639175257732,1000000.0,0.1
validation,30,1.0,97,-0.17287799746021626,-0.05592578382027371,-0.5126733378262986,-0.16893736099531254,-0.09860491764621626,1.1541728063536931,0.8319006504020422,0.0012478509756030634,0.020618556701030927,6.701030927835052,19.969072164948454,45.56701030927835,1000000.0,0.1
validation,30,1.5,97,-0.1723018508066948,-0.05395229224813402,-0.5243684040163936,-0.16624103013906788,-0.0957229668068994,0.8080114127083108,0.5565359647607425,0.0008348039471411136,0.030927835051546393,7.082474226804123,14.896907216494846,43.41237113402062,1000000.0,0.1
validation,30,3.0,97,-0.18482906535576415,-0.06274481630740655,-0.4900215378272762,-0.18188426280208847,-0.11225624448503801,0.10399669741076879,0.060740360424561185,9.111054063684179e-05,0.0,3.1752577319587627,0.7628865979381443,33.371134020618555,1000000.0,0.1
test,10,1.0,66,0.5991762182482341,0.22948159361550485,-0.19897860421134927,0.015412673009171485,0.11814378471682518,1.7884927391264043,0.05286373982651545,7.929560973977319e-05,0.015151515151515152,1.8484848484848484,23.363636363636363,25.227272727272727,10000000.0,0.01
test,10,1.5,66,0.6734696049452995,0.250077365091639,-0.20011734044217722,0.06504876245288482,0.17124329280562778,1.6864600796225937,0.053329225129101855,7.99938376936528e-05,0.015151515151515152,1.5,23.21212121212121,24.863636363636363,10000000.0,0.01
test,10,3.0,66,0.6305954012950694,0.24595564186768928,-0.200285581835274,0.03504550276395135,0.1389877474210175,1.4155810837353544,0.040294301671579026,6.044145250736855e-05,0.015151515151515152,1.5,19.924242424242426,21.803030303030305,10000000.0,0.01
test,30,1.0,66,0.35925861433712036,0.16972012399816366,-0.1952347783344952,-0.13666462193657214,-0.04768521606704368,1.5443718279262988,0.09490981372978691,0.00014236472059468038,0.030303030303030304,8.212121212121213,57.378787878787875,66.98484848484848,10000000.0,0.01
test,30,1.5,66,0.45345615964453434,0.21072205398291455,-0.1955839242081201,-0.07781718322195386,0.01730520403006741,1.2398054706911945,0.07411649313566245,0.00011117473970349366,0.015151515151515152,5.651515151515151,46.71212121212121,55.06060606060606,10000000.0,0.01
test,30,3.0,66,0.6084922809970197,0.27207452434617063,-0.19833110858809333,0.01845495023560595,0.12455997954131748,0.5366885573096223,0.022354379323465522,3.353156898519828e-05,0.015151515151515152,4.409090909090909,17.09090909090909,34.59090909090909,10000000.0,0.01
validation,10,1.0,97,-0.2544724378604001,-0.0834987108622669,-0.5958061588782584,-0.24398835604569236,-0.1812882479524418,1.7781365300084153,0.01737161459424167,2.60574218913625e-05,0.0,2.9072164948453607,24.34020618556701,27.278350515463917,10000000.0,0.01
validation,10,1.5,97,-0.25527015315284574,-0.08362625468802373,-0.5969527682294528,-0.24453218333479476,-0.18187819789669613,1.6818416126591422,0.016800585914209732,2.520087887131459e-05,0.010309278350515464,1.5257731958762886,23.721649484536083,25.309278350515463,10000000.0,0.01
validation,10,3.0,97,-0.25355344468321916,-0.08242990395641252,-0.5964218262869636,-0.24238809603504208,-0.1794724138021806,1.3563848259598115,0.01372208836873626,2.058313255310439e-05,0.010309278350515464,1.309278350515464,20.783505154639176,22.216494845360824,10000000.0,0.01
