split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,desired_turnover,filled_turnover,buy_reject_count,sell_reject_count,partial_fill_count,position_count,avg_abs_control_exposure_z,avg_abs_full_style_exposure_z
validation,20240401,industry_size,20,0.1,0.0,-0.04804624603880915,-0.048136066422789885,-0.04246558326564398,-0.04147236618593543,-0.005670483157145904,-0.006663700236854454,8.98203839807358e-05,1.6747565174021777,0.059880255987157203,0,5,49,54,0.1924458417280617,0.28252165634639814
validation,20240401,industry_size,20,0.1,0.02,-0.04751872601627361,-0.047606311735405575,-0.04246558326564398,-0.04147236618593543,-0.005140728469761595,-0.006133945549470145,8.758571913196364e-05,1.6292606108013696,0.05839047942130909,0,5,48,53,0.18031312625080007,0.2742079125783818
validation,20240410,none,20,0.0,0.0,0.010653356307356403,0.010575038453275374,0.0113157149922829,-0.001172157684505473,-0.0007406765390075253,0.011747196137780847,7.831785408102959e-05,1.529057917602806,0.05221190272068639,0,7,44,51,0.0,0.23232862705284624
validation,20240410,none,20,0.0,0.02,0.010615042119226993,0.010530375138241888,0.0113157149922829,-0.001172157684505473,-0.000785339854041011,0.011702532822747361,8.46669809851048e-05,1.5240703984917792,0.056444653990069864,0,7,45,52,0.0,0.22606928814939004
validation,20240410,none,20,0.1,0.0,0.010653356307356403,0.010575038453275374,0.0113157149922829,-0.001172157684505473,-0.0007406765390075253,0.011747196137780847,7.831785408102959e-05,1.529057917602806,0.05221190272068639,0,7,44,51,0.0,0.23232862705284624
validation,20240410,none,20,0.1,0.02,0.010615042119226993,0.010530375138241888,0.0113157149922829,-0.001172157684505473,-0.000785339854041011,0.011702532822747361,8.46669809851048e-05,1.5240703984917792,0.056444653990069864,0,7,45,52,0.0,0.22606928814939004
validation,20240410,industry_size,20,0.0,0.0,0.010653356307356403,0.010575038453275374,0.0113157149922829,-0.001172157684505473,-0.0007406765390075253,0.011747196137780847,7.831785408102959e-05,1.529057917602806,0.05221190272068639,0,7,44,51,0.19217204368668808,0.23232862705284624
validation,20240410,industry_size,20,0.0,0.02,0.010615042119226993,0.010530375138241888,0.0113157149922829,-0.001172157684505473,-0.000785339854041011,0.011702532822747361,8.46669809851048e-05,1.5240703984917792,0.056444653990069864,0,7,45,52,0.18297147483411202,0.22606928814939004
validation,20240410,industry_size,20,0.1,0.0,0.010128696455362539,0.010053515903618528,0.0113157149922829,-0.001172157684505473,-0.0012621990886643713,0.011225673588124001,7.518055174401125e-05,1.3903439048079578,0.05012036782934083,0,5,44,49,0.17477780264554385,0.2362694483414749
validation,20240410,industry_size,20,0.1,0.02,0.01031512708407746,0.010240083127973641,0.0113157149922829,-0.001172157684505473,-0.0010756318643092583,0.011412240812479114,7.504395610381963e-05,1.3584118042666953,0.05002930406921308,0,5,44,49,0.16306037338929344,0.22791154469195468
validation,20240417,none,20,0.0,0.0,-0.008670753394938582,-0.008764630943892892,-0.010853984824927942,-0.007724833706434261,0.002089353881035051,-0.0010397972374586303,9.387754895430971e-05,1.4670871960878025,0.06258503263620648,0,7,43,50,0.0,0.22166099816806564
validation,20240417,none,20,0.0,0.02,-0.008111692218782579,-0.008209457113432544,-0.010853984824927942,-0.007724833706434261,0.002644527711495398,-0.00048462340699828316,9.776489464996616e-05,1.4356661705838896,0.06517659643331078,0,7,45,52,0.0,0.21650528331286878
validation,20240417,none,20,0.1,0.0,-0.008670753394938582,-0.008764630943892892,-0.010853984824927942,-0.007724833706434261,0.002089353881035051,-0.0010397972374586303,9.387754895430971e-05,1.4670871960878025,0.06258503263620648,0,7,43,50,0.0,0.22166099816806564
validation,20240417,none,20,0.1,0.02,-0.008111692218782579,-0.008209457113432544,-0.010853984824927942,-0.007724833706434261,0.002644527711495398,-0.00048462340699828316,9.776489464996616e-05,1.4356661705838896,0.06517659643331078,0,7,45,52,0.0,0.21650528331286878
