split,trade_date,k,keep_multiplier,keep_rank,cost_bps,daily_count,top_turnover,bottom_turnover,long_short_turnover,top_transaction_cost,bottom_transaction_cost,long_short_transaction_cost,top_return_gross,top_return_net,bottom_return_gross,bottom_short_return_net,long_short_gross,long_short_net,benchmark_return,universe_equal_return,top_excess_vs_benchmark_net,top_excess_vs_universe_net
test,20251124,20,2.0,40,10.0,73,0.8000000000000002,0.4999999999999999,1.3,0.0008,0.0004999999999999,0.0013,0.0472599531215016,0.0464599531215016,0.0237451656694827,-0.0242451656694827,0.0235147874520189,0.0222147874520189,0.0558051232366723,0.0416126879478584,-0.0093451701151706,0.0048472651736432
test,20251201,20,2.0,40,10.0,73,0.4999999999999999,0.3,0.7999999999999999,0.0004999999999999,0.0003,0.0007999999999999,0.0138393271874716,0.0133393271874716,0.0048740847757614,-0.0051740847757614,0.0089652424117102,0.0081652424117102,0.0316153104035457,0.0161350364665924,-0.018275983216074,-0.0027957092791208
test,20251208,20,2.0,40,10.0,73,0.7000000000000001,0.7000000000000001,1.4,0.0007,0.0007,0.0014,-0.0002422799350641,-0.0009422799350641,-0.0211087852788948,0.0204087852788948,0.0208665053438306,0.0194665053438306,-0.0164461063594389,-0.0099787701977545,0.0155038264243748,0.0090364902626903
test,20251215,20,2.0,40,10.0,73,0.6,0.7000000000000001,1.3,0.0006,0.0007,0.0013,0.0174339419918374,0.0168339419918374,0.0164452479603117,-0.0171452479603117,0.0009886940315257,-0.0003113059684742,0.0172680150269552,0.0163335181846459,-0.0004340730351178,0.0005004238071914
test,20251222,20,2.0,40,10.0,74,0.3,0.3,0.6,0.0003,0.0003,0.0006,0.0202672048914562,0.0199672048914562,0.0715072558594486,-0.0718072558594486,-0.0512400509679923,-0.0518400509679923,0.009594625588611,0.0287431155728899,0.0103725793028452,-0.0087759106814336
test,20251229,20,2.0,40,10.0,74,0.6,0.3,0.8999999999999999,0.0006,0.0003,0.0009,0.0450972047252404,0.0444972047252404,0.0762608673819456,-0.0765608673819456,-0.0311636626567052,-0.0320636626567052,0.0332282756577368,0.0593486385932948,0.0112689290675035,-0.0148514338680544
test,20260107,20,2.0,40,10.0,73,0.9000000000000002,0.6,1.5000000000000002,0.0009,0.0006,0.0015,0.0358519305135767,0.0349519305135767,0.0460304903428506,-0.0466304903428506,-0.0101785598292739,-0.0116785598292739,0.005839878432021,0.0397541843153098,0.0291120520815557,-0.0048022538017331
test,20260114,20,2.0,40,10.0,73,0.2,0.4999999999999999,0.7,0.0002,0.0004999999999999,0.0006999999999999,-0.0075865747081104,-0.0077865747081104,-0.0181242740269816,0.0176242740269816,0.0105376993188712,0.0098376993188712,-0.0160085987509143,-0.00875751979438,0.0082220240428038,0.0009709450862695
test,20260121,20,2.0,40,10.0,74,0.8000000000000002,0.9000000000000002,1.7000000000000004,0.0008,0.0009,0.0017,0.0046124966302882,0.0038124966302882,0.0401340887949168,-0.0410340887949168,-0.0355215921646285,-0.0372215921646285,0.0085083015361511,0.023733608541627,-0.0046958049058628,-0.0199211119113387
test,20260128,20,2.0,40,10.0,73,0.2,0.4999999999999999,0.7,0.0002,0.0004999999999999,0.0006999999999999,0.0001737792137087,-2.622078629128095e-05,-0.0037002408059262,0.0032002408059262,0.0038740200196349,0.0031740200196349,-0.0036247557176534,-0.0101242090031485,0.0035985349313621,0.0100979882168573
