split,trade_date,k,num_buckets,k_per_bucket,rotated_bucket,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,filled_turnover,desired_turnover,position_count,buy_rejects,sell_rejects,active_buckets,portfolio_nav
test,20251015,30,5,6,4,90,-0.055857007902479515,-0.055932517988385576,0.011055309662786561,-0.02049580639458941,-0.06698782765117214,-0.03543671159379616,7.551008590605892e-05,0.050340057270705944,1.8451088013730448,95,0,3,5,10000000.0
test,20251016,30,5,6,0,90,-0.040583010761206365,-0.040642606112603265,0.008138524968852812,-0.01890740826034061,-0.048781131081456076,-0.021735197852262654,5.9595351396902144e-05,0.03973023426460143,1.8265437809062082,95,0,3,5,10000000.0
test,20251017,30,5,6,1,90,0.00012591332051867563,6.608934762767563e-05,0.0804664884131463,0.021009879723243814,-0.08040039906551862,-0.02094379037561614,5.982397289100001e-05,0.039882648594,1.854296656789379,97,0,2,5,10000000.0
test,20251020,30,5,6,2,90,0.026518888565588955,0.026462422281453134,0.08050887955586039,0.040721755471937585,-0.05404645727440725,-0.01425933319048445,5.6466284135819214e-05,0.037644189423879475,1.833417445082261,98,0,3,5,10000000.0
test,20251021,30,5,6,3,90,0.01745355899707659,0.017413581611381873,0.047299982939412955,0.03240102524548615,-0.02988640132803108,-0.014987443634104279,3.9977385694717545e-05,0.02665159046314503,1.857818546446537,99,0,3,5,10000000.0
test,20251022,30,5,6,4,90,0.04463350047136914,0.044584341039372484,0.0866049217747531,0.061190958548493414,-0.04202058073538061,-0.01660661750912093,4.915943199665678e-05,0.03277295466443785,1.8273997218202171,98,0,3,5,10000000.0
test,20251023,30,5,6,0,90,0.030308257372588365,0.030251719208986366,0.0655940347517796,0.04048037844997371,-0.03534231554279324,-0.010228659240987342,5.6538163602e-05,0.037692109068,1.8207688479448452,100,0,3,5,10000000.0
test,20251024,30,5,6,1,90,0.026953689179342454,0.026876838951506606,0.00503347129135201,0.010695800736009075,0.021843367660154597,0.01618103821549753,7.68502278358485e-05,0.051233485223899,1.8173875508875106,99,0,2,5,10000000.0
test,20251027,30,5,6,2,90,0.03166985313111453,0.031598590943862054,-0.011619795188963278,0.014039383648464722,0.04321838613282533,0.017559207295397332,7.126218725247382e-05,0.04750812483498255,1.814611938847574,100,0,3,5,10000000.0
test,20251028,30,5,6,3,90,0.00910079226229913,0.00902326438574495,-0.029566084755290212,-0.00938530995740235,0.038589349141035165,0.0184085743431473,7.752787655418106e-05,0.051685251036120705,1.8517827413703076,99,0,3,5,10000000.0
test,20251029,30,5,6,4,90,-0.0032676971667158898,-0.0033923016052238896,-0.04754127618885973,-0.025774463553140888,0.044148974583635835,0.022382161947917,0.000124604438508,0.08306962567199999,1.829140240001915,101,0,3,5,10000000.0
test,20251030,30,5,6,0,91,-0.005374078670416227,-0.005479084983648568,-0.011767740961124984,-0.00959774673674507,0.0062886559774764155,0.004118661753096502,0.00010500631323234142,0.07000420882156094,1.8529623337885215,101,0,3,5,10000000.0
test,20251031,30,5,6,1,91,-0.02224697331511663,-0.02235398880973262,0.006485580524397294,-0.008201145742268429,-0.028839569334129914,-0.01415284306746419,0.00010701549461598846,0.07134366307732563,1.8357445065866922,102,0,2,5,10000000.0
test,20251103,30,5,6,2,91,-0.019312721177402636,-0.01940456411125469,-0.005644175371610993,-0.0014180521758864854,-0.013760388739643695,-0.017986511935368203,9.184293385205265e-05,0.061228622568035095,1.824966415016504,102,0,3,5,10000000.0
test,20251104,30,5,6,3,91,-0.002927348794316362,-0.0030110293667779385,7.223788599519665e-05,0.02252177584652982,-0.003083267252773135,-0.02553280521330776,8.368057246157642e-05,0.05578704830771761,1.8441751284323253,103,0,3,5,10000000.0
test,20251105,30,5,6,4,90,-0.033071146697480194,-0.033150209050402814,-0.013961140929948601,-0.008572996205049956,-0.019189068120454213,-0.024577212845352858,7.90623529226207e-05,0.05270823528174713,1.7833153218003013,103,0,3,5,10000000.0
test,20251106,30,5,6,0,90,-0.006448438851001846,-0.00653228767550468,-0.007092362216020276,0.010919674128274064,0.0005600745405155956,-0.017451961803778743,8.384882450283412e-05,0.05589921633522274,1.7963115241652923,103,0,3,5,10000000.0
