run,split,k,style_col,top_mean,bottom_mean,top_minus_bottom
old_full62,validation,10,lag1_amplitude,0.034573213892485986,0.0464773025831089,-0.01190408869062292
old_full62,validation,10,lag1_limit_position,0.49690900453539383,0.505463089623854,-0.008554085088460197
old_full62,validation,10,lag1_limit_touch_up,0.001652892561983471,0.00640495867768595,-0.00475206611570248
old_full62,validation,10,lag1_limit_touch_down,0.0002066115702479339,0.0004132231404958678,-0.0002066115702479339
old_full62,validation,10,lag1_near_limit_up_2pct,0.0018595041322314048,0.006404958677685951,-0.004545454545454546
old_full62,validation,10,lag1_near_limit_down_2pct,0.0002066115702479339,0.0004132231404958678,-0.0002066115702479339
old_full62,validation,30,lag1_log_circ_mv,14.860424796411841,14.685176048429986,0.17524874798185752
old_full62,validation,30,lag1_amount_20d_mean,709067.117479342,688635.494625111,20431.622854231056
old_full62,validation,30,lag1_amount_rank_pct,0.5170053663460359,0.5598410203920309,-0.04283565404599512
old_full62,validation,30,lag1_turnover_rate_f,2.2277320592286505,3.2289485055096416,-1.0012164462809916
old_full62,validation,30,lag1_turnover_cost_proxy,0.122372281439757,0.1735033797033059,-0.051131098263548905
old_full62,validation,30,lag1_ret_20d_std,0.024316318472163624,0.02995735776253816,-0.005641039290374533
old_full62,validation,30,lag1_ret_60d_std,0.026935206085262384,0.029035139581971934,-0.002099933496709553
old_full62,validation,30,lag1_amplitude,0.03484697039146814,0.04130145114868955,-0.006454480757221408
old_full62,validation,30,lag1_limit_position,0.49802314257321173,0.5028206721992686,-0.004797529626056916
old_full62,validation,30,lag1_limit_touch_up,0.001377410468319559,0.004201101928374655,-0.0028236914600550966
old_full62,validation,30,lag1_limit_touch_down,6.887052341597796e-05,0.00034435261707988987,-0.0002754820936639118
old_full62,validation,30,lag1_near_limit_up_2pct,0.001997245179063361,0.004201101928374655,-0.002203856749311295
old_full62,validation,30,lag1_near_limit_down_2pct,6.887052341597796e-05,0.0002066115702479339,-0.0001377410468319559
new_alpha13,test,10,lag1_log_circ_mv,15.036882804711757,15.529347330762196,-0.4924645260504371
new_alpha13,test,10,lag1_amount_20d_mean,1268885.3063587996,3468616.9135595136,-2199731.6072007148
new_alpha13,test,10,lag1_amount_rank_pct,0.47124241255544475,0.7445612570035723,-0.27331884444812765
new_alpha13,test,10,lag1_turnover_rate_f,3.343965288753799,7.065350334346506,-3.7213850455927058
new_alpha13,test,10,lag1_turnover_cost_proxy,0.1756558949392542,0.3480767404562687,-0.1724208455170145
new_alpha13,test,10,lag1_ret_20d_std,0.023905847539418275,0.037732542040216775,-0.013826694500798497
new_alpha13,test,10,lag1_ret_60d_std,0.028109508060250886,0.03468516899457956,-0.006575660934328671
new_alpha13,test,10,lag1_amplitude,0.03198786530537093,0.056607146308236836,-0.024619281002865916
new_alpha13,test,10,lag1_limit_position,0.48935510585248726,0.5285836983201778,-0.039228592467690636
new_alpha13,test,10,lag1_limit_touch_up,0.00030395136778115504,0.006686930091185411,-0.006382978723404256
new_alpha13,test,10,lag1_limit_touch_down,0.00030395136778115504,0.0012158054711246201,-0.0009118541033434652
new_alpha13,test,10,lag1_near_limit_up_2pct,0.00030395136778115504,0.006686930091185411,-0.006382978723404256
new_alpha13,test,10,lag1_near_limit_down_2pct,0.00030395136778115504,0.000911854103343465,-0.00060790273556231
new_alpha13,test,30,lag1_log_circ_mv,14.991601045554274,15.320016899703377,-0.32841585414910773
new_alpha13,test,30,lag1_amount_20d_mean,1232015.0954154865,2668206.757581226,-1436191.6621657398
new_alpha13,test,30,lag1_amount_rank_pct,0.458578769837978,0.6620756405924523,-0.20349687075447426
new_alpha13,test,30,lag1_turnover_rate_f,3.3825228166160084,5.978126200607902,-2.595603383991895
new_alpha13,test,30,lag1_turnover_cost_proxy,0.1779814993879923,0.2968957501221628,-0.1189142507341705
new_alpha13,test,30,lag1_ret_20d_std,0.024162315769720815,0.034505372475964045,-0.010343056706243236
new_alpha13,test,30,lag1_ret_60d_std,0.02758238768815592,0.032977296909646826,-0.0053949092214909036
new_alpha13,test,30,lag1_amplitude,0.03237978232524273,0.04900301776112714,-0.016623235435884412
new_alpha13,test,30,lag1_limit_position,0.49389083511730864,0.5157076435075854,-0.02181680839027669
new_alpha13,test,30,lag1_limit_touch_up,0.0010131712259371835,0.004964539007092199,-0.003951367781155016
new_alpha13,test,30,lag1_limit_touch_down,0.0011144883485309017,0.0008105369807497467,0.00030395136778115493
new_alpha13,test,30,lag1_near_limit_up_2pct,0.0008105369807497467,0.005369807497467073,-0.004559270516717325
new_alpha13,test,30,lag1_near_limit_down_2pct,0.0011144883485309017,0.0007092198581560283,0.0004052684903748733
new_alpha13,validation,10,lag1_log_circ_mv,14.751886780189816,15.048315324756002,-0.2964285445661854
new_alpha13,validation,10,lag1_amount_20d_mean,579004.7626130682,1101668.5473605816,-522663.7847475134
new_alpha13,validation,10,lag1_amount_rank_pct,0.5051473789524026,0.7216078930853771,-0.2164605141329745
